id_Historico_Desastre;idDesastre;Event;idTipo_Desastre;Municipio;Código_DANE;Fecha;Causa;Descripción de la causa;Fuente;IDimpacto_material;IDimpacto_humano;idDetalleDesastre
500054;700;FORESTFIRE;1;EBÉJICO;5240;27/08/2016;UNKNOWN;;UNGRD;5502;5501;5000543
500068;700;FORESTFIRE;1;MEDELLÍN;5001;12/08/2016;UNKNOWN;;UNGRD;6902;6901;5000683
500082;700;FORESTFIRE;1;VENECIA;5861;11/07/2016;UNKNOWN;;UNGRD;8302;8301;5000823
500085;700;FORESTFIRE;1;SONSON;5756;30/06/2016;UNKNOWN;;UNGRD;8602;8601;5000853
500086;700;FORESTFIRE;1;MEDELLÍN;5001;27/06/2016;UNKNOWN;;UNGRD;8702;8701;5000863
500110;700;FORESTFIRE;1;VENECIA;5861;22/04/2016;UNKNOWN;;UNGRD;11102;11101;5001103
500111;700;FORESTFIRE;1;BELLO;5088;21/04/2016;UNKNOWN;;UNGRD;11202;11201;5001113
500112;700;FORESTFIRE;1;BELLO;5088;21/04/2016;UNKNOWN;;UNGRD;11302;11301;5001123
500113;700;FORESTFIRE;1;BELLO;5088;21/04/2016;UNKNOWN;;UNGRD;11402;11401;5001133
500114;700;FORESTFIRE;1;FREDONIA;5282;21/04/2016;UNKNOWN;;UNGRD;11502;11501;5001143
500115;700;FORESTFIRE;1;LA PINTADA;5390;21/04/2016;UNKNOWN;;UNGRD;11602;11601;5001153
500116;700;FORESTFIRE;1;SALGAR;5642;18/04/2016;UNKNOWN;;UNGRD;11702;11701;5001163
500117;700;FORESTFIRE;1;AMALFI;5031;16/04/2016;UNKNOWN;;UNGRD;11802;11801;5001173
500119;700;FORESTFIRE;1;CAUCASIA;5154;14/04/2016;UNKNOWN;;UNGRD;12002;12001;5001193
500122;700;FORESTFIRE;1;REMEDIOS;5604;30/03/2016;UNKNOWN;;UNGRD;12302;12301;5001223
500123;700;FORESTFIRE;1;ZARAGOZA;5895;30/03/2016;UNKNOWN;;UNGRD;12402;12401;5001233
500125;700;FORESTFIRE;1;JERICÓ;5368;26/03/2016;UNKNOWN;;UNGRD;12602;12601;5001253
500126;700;FORESTFIRE;1;SALGAR;5642;26/03/2016;UNKNOWN;;UNGRD;12702;12701;5001263
500127;700;FORESTFIRE;1;FRONTINO;5284;25/03/2016;UNKNOWN;;UNGRD;12802;12801;5001273
500128;700;FORESTFIRE;1;CONCORDIA;5209;25/03/2016;UNKNOWN;;UNGRD;12902;12901;5001283
500129;700;FORESTFIRE;1;CONCORDIA;5209;25/03/2016;UNKNOWN;;UNGRD;13002;13001;5001293
500130;700;FORESTFIRE;1;JERICÓ;5368;24/03/2016;UNKNOWN;;UNGRD;13102;13101;5001303
500131;700;FORESTFIRE;1;FREDONIA;5282;24/03/2016;UNKNOWN;;UNGRD;13202;13201;5001313
500132;700;FORESTFIRE;1;JARDÍN;5364;24/03/2016;UNKNOWN;;UNGRD;13302;13301;5001323
500133;700;FORESTFIRE;1;MEDELLÍN;5001;23/03/2016;UNKNOWN;;UNGRD;13402;13401;5001333
500134;700;FORESTFIRE;1;SOPETRÁN;5761;22/03/2016;UNKNOWN;;UNGRD;13502;13501;5001343
500135;700;FORESTFIRE;1;ITUANGO;5361;22/03/2016;UNKNOWN;;UNGRD;13602;13601;5001353
500136;700;FORESTFIRE;1;ANGOSTURA;5038;19/03/2016;UNKNOWN;;UNGRD;13702;13701;5001363
500137;700;FORESTFIRE;1;BETULIA;5093;19/03/2016;UNKNOWN;;UNGRD;13802;13801;5001373
500138;700;FORESTFIRE;1;PUERTO NARE;5585;16/03/2016;UNKNOWN;;UNGRD;13902;13901;5001383
500139;700;FORESTFIRE;1;URRAO;5847;16/03/2016;UNKNOWN;;UNGRD;14002;14001;5001393
500140;700;FORESTFIRE;1;YOLOMBÓ;5890;16/03/2016;UNKNOWN;;UNGRD;14102;14101;5001403
500141;700;FORESTFIRE;1;OLAYA;5501;16/03/2016;UNKNOWN;;UNGRD;14202;14201;5001413
500142;700;FORESTFIRE;1;BARBOSA;5079;13/03/2016;UNKNOWN;;UNGRD;14302;14301;5001423
500143;700;FORESTFIRE;1;ANGOSTURA;5038;13/03/2016;UNKNOWN;;UNGRD;14402;14401;5001433
500144;700;FORESTFIRE;1;YOLOMBÓ;5890;12/03/2016;UNKNOWN;;UNGRD;14502;14501;5001443
500145;700;FORESTFIRE;1;ITUANGO;5361;12/03/2016;UNKNOWN;;UNGRD;14602;14601;5001453
500146;700;FORESTFIRE;1;CAMPAMENTO;5134;10/03/2016;UNKNOWN;;UNGRD;14702;14701;5001463
500147;700;FORESTFIRE;1;ZARAGOZA;5895;10/03/2016;UNKNOWN;;UNGRD;14802;14801;5001473
500148;700;FORESTFIRE;1;LA CEJA;5376;9/03/2016;UNKNOWN;;UNGRD;14902;14901;5001483
500149;700;FORESTFIRE;1;ZARAGOZA;5895;8/03/2016;UNKNOWN;;UNGRD;15002;15001;5001493
500150;700;FORESTFIRE;1;BELLO;5088;8/03/2016;UNKNOWN;;UNGRD;15102;15101;5001503
500152;700;FORESTFIRE;1;FREDONIA;5282;4/03/2016;UNKNOWN;;UNGRD;15302;15301;5001523
500154;700;FORESTFIRE;1;MEDELLÍN;5001;4/03/2016;UNKNOWN;;UNGRD;15502;15501;5001543
500155;700;FORESTFIRE;1;SANTA ROSA DE OSOS;5686;3/03/2016;UNKNOWN;;UNGRD;15602;15601;5001553
500156;700;FORESTFIRE;1;ITUANGO;5361;2/03/2016;UNKNOWN;;UNGRD;15702;15701;5001563
500157;700;FORESTFIRE;1;GIRARDOTA;5308;2/03/2016;UNKNOWN;;UNGRD;15802;15801;5001573
500158;700;FORESTFIRE;1;JARDÍN;5364;27/02/2016;UNKNOWN;;UNGRD;15902;15901;5001583
500159;700;FORESTFIRE;1;ZARAGOZA;5895;26/02/2016;UNKNOWN;;UNGRD;16002;16001;5001593
500161;700;FORESTFIRE;1;ZARAGOZA;5895;21/02/2016;UNKNOWN;;UNGRD;16202;16201;5001613
500162;700;FORESTFIRE;1;BELLO;5088;21/02/2016;UNKNOWN;;UNGRD;16302;16301;5001623
500163;700;FORESTFIRE;1;CAÑASGORDAS;5138;20/02/2016;UNKNOWN;;UNGRD;16402;16401;5001633
500164;700;FORESTFIRE;1;VENECIA;5861;19/02/2016;UNKNOWN;;UNGRD;16502;16501;5001643
500165;700;FORESTFIRE;1;CONCORDIA;5209;19/02/2016;UNKNOWN;;UNGRD;16602;16601;5001653
500166;700;FORESTFIRE;1;FREDONIA;5282;18/02/2016;UNKNOWN;;UNGRD;16702;16701;5001663
500169;700;FORESTFIRE;1;MEDELLÍN;5001;16/02/2016;UNKNOWN;;UNGRD;17002;17001;5001693
500171;700;FORESTFIRE;1;URRAO;5847;15/02/2016;UNKNOWN;;UNGRD;17202;17201;5001713
500172;700;FORESTFIRE;1;FREDONIA;5282;11/02/2016;UNKNOWN;;UNGRD;17302;17301;5001723
500173;700;FORESTFIRE;1;REMEDIOS;5604;11/02/2016;UNKNOWN;;UNGRD;17402;17401;5001733
500174;700;FORESTFIRE;1;ZARAGOZA;5895;11/02/2016;UNKNOWN;;UNGRD;17502;17501;5001743
500175;700;FORESTFIRE;1;FREDONIA;5282;9/02/2016;UNKNOWN;;UNGRD;17602;17601;5001753
500176;700;FORESTFIRE;1;URRAO;5847;8/02/2016;UNKNOWN;;UNGRD;17702;17701;5001763
500177;700;FORESTFIRE;1;EBÉJICO;5240;8/02/2016;UNKNOWN;;UNGRD;17802;17801;5001773
500178;700;FORESTFIRE;1;BETULIA;5093;5/02/2016;UNKNOWN;;UNGRD;17902;17901;5001783
500179;700;FORESTFIRE;1;AMAGÁ;5030;3/02/2016;UNKNOWN;;UNGRD;18002;18001;5001793
500180;700;FORESTFIRE;1;YOLOMBÓ;5890;3/02/2016;UNKNOWN;;UNGRD;18102;18101;5001803
500181;700;FORESTFIRE;1;MEDELLÍN;5001;3/02/2016;UNKNOWN;;UNGRD;18202;18201;5001813
500182;700;FORESTFIRE;1;DONMATÍAS;5237;3/02/2016;UNKNOWN;;UNGRD;18302;18301;5001823
500183;700;FORESTFIRE;1;ITAGUÍ;5360;3/02/2016;UNKNOWN;;UNGRD;18402;18401;5001833
500184;700;FORESTFIRE;1;URRAO;5847;2/02/2016;UNKNOWN;;UNGRD;18502;18501;5001843
500185;700;FORESTFIRE;1;CONCORDIA;5209;2/02/2016;UNKNOWN;;UNGRD;18602;18601;5001853
500186;700;FORESTFIRE;1;URRAO;5847;1/02/2016;UNKNOWN;;UNGRD;18702;18701;5001863
500187;700;FORESTFIRE;1;FREDONIA;5282;31/01/2016;UNKNOWN;;UNGRD;18802;18801;5001873
500188;700;FORESTFIRE;1;EL RETIRO;5607;30/01/2016;UNKNOWN;;UNGRD;18902;18901;5001883
500189;700;FORESTFIRE;1;SALGAR;5642;30/01/2016;UNKNOWN;;UNGRD;19002;19001;5001893
500190;700;FORESTFIRE;1;MONTEBELLO;5467;30/01/2016;UNKNOWN;;UNGRD;19102;19101;5001903
500191;700;FORESTFIRE;1;CONCORDIA;5209;30/01/2016;UNKNOWN;;UNGRD;19202;19201;5001913
500192;700;FORESTFIRE;1;ZARAGOZA;5895;29/01/2016;UNKNOWN;;UNGRD;19302;19301;5001923
500193;700;FORESTFIRE;1;SANTA BÁRBARA;5679;29/01/2016;UNKNOWN;;UNGRD;19402;19401;5001933
500194;700;FORESTFIRE;1;ANDES;5034;28/01/2016;UNKNOWN;;UNGRD;19502;19501;5001943
500195;700;FORESTFIRE;1;FREDONIA;5282;27/01/2016;UNKNOWN;;UNGRD;19602;19601;5001953
500196;700;FORESTFIRE;1;ABEJORRAL;5002;27/01/2016;UNKNOWN;;UNGRD;19702;19701;5001963
500197;700;FORESTFIRE;1;BETULIA;5093;26/01/2016;UNKNOWN;;UNGRD;19802;19801;5001973
500198;700;FORESTFIRE;1;SALGAR;5642;24/01/2016;UNKNOWN;;UNGRD;19902;19901;5001983
500199;700;FORESTFIRE;1;CONCORDIA;5209;23/01/2016;UNKNOWN;;UNGRD;20002;20001;5001993
500200;700;FORESTFIRE;1;SALGAR;5642;23/01/2016;UNKNOWN;;UNGRD;20102;20101;5002003
500201;700;FORESTFIRE;1;BELLO;5088;22/01/2016;UNKNOWN;;UNGRD;20202;20201;5002013
500202;700;FORESTFIRE;1;BELLO;5088;22/01/2016;UNKNOWN;;UNGRD;20302;20301;5002023
500203;700;FORESTFIRE;1;CONCORDIA;5209;21/01/2016;UNKNOWN;;UNGRD;20402;20401;5002033
500204;700;FORESTFIRE;1;CONCORDIA;5209;21/01/2016;UNKNOWN;;UNGRD;20502;20501;5002043
500205;700;FORESTFIRE;1;BELLO;5088;21/01/2016;UNKNOWN;;UNGRD;20602;20601;5002053
500206;700;FORESTFIRE;1;JARDÍN;5364;21/01/2016;UNKNOWN;;UNGRD;20702;20701;5002063
500207;700;FORESTFIRE;1;EL RETIRO;5607;1/01/2016;UNKNOWN;;UNGRD;20802;20801;5002073
500209;700;FORESTFIRE;1;COPACABANA;5212;21/12/2017;UNKNOWN;;UNGRD;21002;21001;5002093
500210;700;FORESTFIRE;1;AMALFI;5031;20/12/2017;UNKNOWN;;UNGRD;21102;21101;5002103
500230;700;FORESTFIRE;1;COPACABANA;5212;17/10/2017;UNKNOWN;;UNGRD;23102;23101;5002303
500233;700;FORESTFIRE;1;GÓMEZ PLATA;5310;12/10/2017;UNKNOWN;;UNGRD;23402;23401;5002333
500253;700;FORESTFIRE;1;FRONTINO;5284;13/08/2017;UNKNOWN;;UNGRD;25402;25401;5002533
500257;700;FORESTFIRE;1;SABANETA;5631;28/07/2017;UNKNOWN;;UNGRD;25802;25801;5002573
500258;700;FORESTFIRE;1;COPACABANA;5212;28/07/2017;UNKNOWN;;UNGRD;25902;25901;5002583
500279;700;FORESTFIRE;1;SANTO DOMINGO;5690;25/05/2017;UNKNOWN;;UNGRD;28002;28001;5002793
500310;700;FORESTFIRE;1;CARACOLÍ;5142;28/04/2017;UNKNOWN;;UNGRD;31102;31101;5003103
500334;700;FORESTFIRE;1;NECOCLÍ;5490;19/03/2017;UNKNOWN;;UNGRD;33502;33501;5003343
500343;700;FORESTFIRE;1;GIRALDO;5306;4/03/2017;UNKNOWN;;UNGRD;34402;34401;5003433
500344;700;FORESTFIRE;1;YONDÓ;5893;4/03/2017;UNKNOWN;;UNGRD;34502;34501;5003443
500346;700;FORESTFIRE;1;TARAZÁ;5790;1/03/2017;UNKNOWN;;UNGRD;34702;34701;5003463
500347;700;FORESTFIRE;1;NECHÍ;5495;1/03/2017;UNKNOWN;;UNGRD;34802;34801;5003473
500348;700;FORESTFIRE;1;COPACABANA;5212;28/02/2017;UNKNOWN;;UNGRD;34902;34901;5003483
500349;700;FORESTFIRE;1;CAMPAMENTO;5134;27/02/2017;UNKNOWN;;UNGRD;35002;35001;5003493
500352;700;FORESTFIRE;1;EL PEÑOL;5541;22/02/2017;UNKNOWN;;UNGRD;35302;35301;5003523
500354;700;FORESTFIRE;1;YONDÓ;5893;20/02/2017;UNKNOWN;;UNGRD;35502;35501;5003543
500355;700;FORESTFIRE;1;MEDELLÍN;5001;18/02/2017;UNKNOWN;;UNGRD;35602;35601;5003553
500356;700;FORESTFIRE;1;ANDES;5034;11/02/2017;UNKNOWN;;UNGRD;35702;35701;5003563
500357;700;FORESTFIRE;1;CONCORDIA;5209;10/02/2017;UNKNOWN;;UNGRD;35802;35801;5003573
500358;700;FORESTFIRE;1;BELLO;5088;9/02/2017;UNKNOWN;;UNGRD;35902;35901;5003583
500359;700;FORESTFIRE;1;LA CEJA;5376;9/02/2017;UNKNOWN;;UNGRD;36002;36001;5003593
500360;700;FORESTFIRE;1;CAUCASIA;5154;8/02/2017;UNKNOWN;;UNGRD;36102;36101;5003603
500361;700;FORESTFIRE;1;AMALFI;5031;7/02/2017;UNKNOWN;;UNGRD;36202;36201;5003613
500362;700;FORESTFIRE;1;CAUCASIA;5154;5/02/2017;UNKNOWN;;UNGRD;36302;36301;5003623
500363;700;FORESTFIRE;1;SANTAFÉ DE ANTIOQUIA;5042;4/02/2017;UNKNOWN;;UNGRD;36402;36401;5003633
500364;700;FORESTFIRE;1;CAUCASIA;5154;2/02/2017;UNKNOWN;;UNGRD;36502;36501;5003643
500365;700;FORESTFIRE;1;MEDELLÍN;5001;31/01/2017;UNKNOWN;;UNGRD;36602;36601;5003653
500366;700;FORESTFIRE;1;AMALFI;5031;29/01/2017;UNKNOWN;;UNGRD;36702;36701;5003663
500367;700;FORESTFIRE;1;AMALFI;5031;27/01/2017;UNKNOWN;;UNGRD;36802;36801;5003673
500368;700;FORESTFIRE;1;SAN JERÓNIMO;5656;24/01/2017;UNKNOWN;;UNGRD;36902;36901;5003683
500369;700;FORESTFIRE;1;COPACABANA;5212;24/01/2017;UNKNOWN;;UNGRD;37002;37001;5003693
500395;700;FORESTFIRE;1;RIONEGRO;5615;31/12/2015;UNKNOWN;;UNGRD;39602;39601;5003953
500396;700;FORESTFIRE;1;SAN JERÓNIMO;5656;30/12/2015;UNKNOWN;;UNGRD;39702;39701;5003963
500397;700;FORESTFIRE;1;BELLO;5088;30/12/2015;UNKNOWN;;UNGRD;39802;39801;5003973
500398;700;FORESTFIRE;1;EL RETIRO;5607;27/12/2015;UNKNOWN;;UNGRD;39902;39901;5003983
500399;700;FORESTFIRE;1;SAN JERÓNIMO;5656;25/12/2015;UNKNOWN;;UNGRD;40002;40001;5003993
500400;700;FORESTFIRE;1;SAN PEDRO DE LOS MILAGROS;5664;25/12/2015;UNKNOWN;;UNGRD;40102;40101;5004003
500402;700;FORESTFIRE;1;GUARNE;5318;21/12/2015;UNKNOWN;;UNGRD;40302;40301;5004023
500403;700;FORESTFIRE;1;GUARNE;5318;21/12/2015;UNKNOWN;;UNGRD;40402;40401;5004033
500404;700;FORESTFIRE;1;SANTAFÉ DE ANTIOQUIA;5042;19/12/2015;UNKNOWN;;UNGRD;40502;40501;5004043
500405;700;FORESTFIRE;1;BELLO;5088;17/12/2015;UNKNOWN;;UNGRD;40602;40601;5004053
500407;700;FORESTFIRE;1;LA ESTRELLA;5380;9/12/2015;UNKNOWN;;UNGRD;40802;40801;5004073
500408;700;FORESTFIRE;1;BELLO;5088;9/12/2015;UNKNOWN;;UNGRD;40902;40901;5004083
500422;700;FORESTFIRE;1;FREDONIA;5282;29/10/2015;UNKNOWN;;UNGRD;42302;42301;5004223
500430;700;FORESTFIRE;1;COCORNÁ;5197;28/09/2015;UNKNOWN;;UNGRD;43102;43101;5004303
500431;700;FORESTFIRE;1;MEDELLÍN;5001;23/09/2015;UNKNOWN;;UNGRD;43202;43201;5004313
500435;700;FORESTFIRE;1;ITUANGO;5361;14/09/2015;UNKNOWN;;UNGRD;43602;43601;5004353
500441;700;FORESTFIRE;1;LA CEJA;5376;6/08/2015;UNKNOWN;;UNGRD;44202;44201;5004413
500443;700;FORESTFIRE;1;GUARNE;5318;6/08/2015;UNKNOWN;;UNGRD;44402;44401;5004433
500444;700;FORESTFIRE;1;ITAGUÍ;5360;6/08/2015;UNKNOWN;;UNGRD;44502;44501;5004443
500445;700;FORESTFIRE;1;ANORÍ;5040;6/08/2015;UNKNOWN;;UNGRD;44602;44601;5004453
500446;700;FORESTFIRE;1;CAROLINA DEL PRÍNCIPE;5150;6/08/2015;UNKNOWN;;UNGRD;44702;44701;5004463
500447;700;FORESTFIRE;1;FREDONIA;5282;6/08/2015;UNKNOWN;;UNGRD;44802;44801;5004473
500448;700;FORESTFIRE;1;CONCORDIA;5209;6/08/2015;UNKNOWN;;UNGRD;44902;44901;5004483
500449;700;FORESTFIRE;1;CONCORDIA;5209;6/08/2015;UNKNOWN;;UNGRD;45002;45001;5004493
500450;700;FORESTFIRE;1;YOLOMBÓ;5890;5/08/2015;UNKNOWN;;UNGRD;45102;45101;5004503
500451;700;FORESTFIRE;1;SAN JERÓNIMO;5656;5/08/2015;UNKNOWN;;UNGRD;45202;45201;5004513
500452;700;FORESTFIRE;1;CONCORDIA;5209;5/08/2015;UNKNOWN;;UNGRD;45302;45301;5004523
500453;700;FORESTFIRE;1;LA CEJA;5376;5/08/2015;UNKNOWN;;UNGRD;45402;45401;5004533
500475;700;FORESTFIRE;1;URRAO;5847;3/07/2015;UNKNOWN;;UNGRD;47602;47601;5004753
500476;700;FORESTFIRE;1;MEDELLÍN;5001;2/07/2015;UNKNOWN;;UNGRD;47702;47701;5004763
500478;700;FORESTFIRE;1;SABANETA;5631;26/06/2015;UNKNOWN;;UNGRD;47902;47901;5004783
500479;700;FORESTFIRE;1;MEDELLÍN;5001;24/06/2015;UNKNOWN;;UNGRD;48002;48001;5004793
500481;700;FORESTFIRE;1;BELLO;5088;3/06/2015;UNKNOWN;;UNGRD;48202;48201;5004813
500488;700;FORESTFIRE;1;TURBO;5837;20/05/2015;UNKNOWN;;UNGRD;48902;48901;5004883
500492;700;FORESTFIRE;1;MEDELLÍN;5001;14/05/2015;UNKNOWN;;UNGRD;49302;49301;5004923
500494;700;FORESTFIRE;1;HELICONIA;5347;14/05/2015;UNKNOWN;;UNGRD;49502;49501;5004943
500496;700;FORESTFIRE;1;MEDELLÍN;5001;14/05/2015;UNKNOWN;;UNGRD;49702;49701;5004963
500497;700;FORESTFIRE;1;REMEDIOS;5604;12/05/2015;UNKNOWN;;UNGRD;49802;49801;5004973
500499;700;FORESTFIRE;1;LA CEJA;5376;12/05/2015;UNKNOWN;;UNGRD;50002;50001;5004993
500500;700;FORESTFIRE;1;MEDELLÍN;5001;12/05/2015;UNKNOWN;;UNGRD;50102;50101;5005003
500505;700;FORESTFIRE;1;SANTA ROSA DE OSOS;5686;5/05/2015;UNKNOWN;;UNGRD;50602;50601;5005053
500507;700;FORESTFIRE;1;MEDELLÍN;5001;1/05/2015;UNKNOWN;;UNGRD;50802;50801;5005073
500517;700;FORESTFIRE;1;BELLO;5088;9/04/2015;UNKNOWN;;UNGRD;51802;51801;5005173
500527;700;FORESTFIRE;1;NECOCLÍ;5490;1/04/2015;UNKNOWN;;UNGRD;52802;52801;5005273
500530;700;FORESTFIRE;1;SALGAR;5642;27/03/2015;UNKNOWN;;UNGRD;53102;53101;5005303
500531;700;FORESTFIRE;1;SALGAR;5642;27/03/2015;UNKNOWN;;UNGRD;53202;53201;5005313
500532;700;FORESTFIRE;1;ARBOLETES;5051;24/03/2015;UNKNOWN;;UNGRD;53302;53301;5005323
500534;700;FORESTFIRE;1;FREDONIA;5282;17/03/2015;UNKNOWN;;UNGRD;53502;53501;5005343
500535;700;FORESTFIRE;1;REMEDIOS;5604;17/03/2015;UNKNOWN;;UNGRD;53602;53601;5005353
500536;700;FORESTFIRE;1;ITAGUÍ;5360;15/03/2015;UNKNOWN;;UNGRD;53702;53701;5005363
500538;700;FORESTFIRE;1;ITUANGO;5361;13/03/2015;UNKNOWN;;UNGRD;53902;53901;5005383
500540;700;FORESTFIRE;1;ABEJORRAL;5002;12/03/2015;UNKNOWN;;UNGRD;54102;54101;5005403
500541;700;FORESTFIRE;1;AMALFI;5031;12/03/2015;UNKNOWN;;UNGRD;54202;54201;5005413
500542;700;FORESTFIRE;1;CAICEDO;5125;12/03/2015;UNKNOWN;;UNGRD;54302;54301;5005423
500543;700;FORESTFIRE;1;COPACABANA;5212;12/03/2015;UNKNOWN;;UNGRD;54402;54401;5005433
500544;700;FORESTFIRE;1;ITAGUÍ;5360;12/03/2015;UNKNOWN;;UNGRD;54502;54501;5005443
500545;700;FORESTFIRE;1;ITUANGO;5361;12/03/2015;UNKNOWN;;UNGRD;54602;54601;5005453
500547;700;FORESTFIRE;1;ANZÁ;5044;11/03/2015;UNKNOWN;;UNGRD;54802;54801;5005473
500557;700;FORESTFIRE;1;URRAO;5847;9/03/2015;UNKNOWN;;UNGRD;55802;55801;5005573
500558;700;FORESTFIRE;1;CONCORDIA;5209;7/03/2015;UNKNOWN;;UNGRD;55902;55901;5005583
500559;700;FORESTFIRE;1;JARDÍN;5364;6/03/2015;UNKNOWN;;UNGRD;56002;56001;5005593
500560;700;FORESTFIRE;1;TOLEDO;5819;5/03/2015;UNKNOWN;;UNGRD;56102;56101;5005603
500561;700;FORESTFIRE;1;YARUMAL;5887;5/03/2015;UNKNOWN;;UNGRD;56202;56201;5005613
500562;700;FORESTFIRE;1;YARUMAL;5887;5/03/2015;UNKNOWN;;UNGRD;56302;56301;5005623
500563;700;FORESTFIRE;1;CAROLINA DEL PRÍNCIPE;5150;4/03/2015;UNKNOWN;;UNGRD;56402;56401;5005633
500564;700;FORESTFIRE;1;ITUANGO;5361;4/03/2015;UNKNOWN;;UNGRD;56502;56501;5005643
500566;700;FORESTFIRE;1;DABEIBA;5234;28/02/2015;UNKNOWN;;UNGRD;56702;56701;5005663
500567;700;FORESTFIRE;1;ANGOSTURA;5038;27/02/2015;UNKNOWN;;UNGRD;56802;56801;5005673
500568;700;FORESTFIRE;1;BARBOSA;5079;24/02/2015;UNKNOWN;;UNGRD;56902;56901;5005683
500570;700;FORESTFIRE;1;MARINILLA;5440;23/02/2015;UNKNOWN;;UNGRD;57102;57101;5005703
500572;700;FORESTFIRE;1;MEDELLÍN;5001;22/02/2015;UNKNOWN;;UNGRD;57302;57301;5005723
500573;700;FORESTFIRE;1;TURBO;5837;21/02/2015;UNKNOWN;;UNGRD;57402;57401;5005733
500575;700;FORESTFIRE;1;BELLO;5088;18/02/2015;UNKNOWN;;UNGRD;57602;57601;5005753
500577;700;FORESTFIRE;1;CONCORDIA;5209;18/02/2015;UNKNOWN;;UNGRD;57802;57801;5005773
500579;700;FORESTFIRE;1;SALGAR;5642;17/02/2015;UNKNOWN;;UNGRD;58002;58001;5005793
500580;700;FORESTFIRE;1;CONCORDIA;5209;16/02/2015;UNKNOWN;;UNGRD;58102;58101;5005803
500582;700;FORESTFIRE;1;SALGAR;5642;11/02/2015;UNKNOWN;;UNGRD;58302;58301;5005823
500584;700;FORESTFIRE;1;CONCORDIA;5209;1/02/2015;UNKNOWN;;UNGRD;58502;58501;5005843
500586;700;FORESTFIRE;1;LA PINTADA;5390;28/01/2015;UNKNOWN;;UNGRD;58702;58701;5005863
500587;700;FORESTFIRE;1;SANTA ROSA DE OSOS;5686;26/01/2015;UNKNOWN;;UNGRD;58802;58801;5005873
500588;700;FORESTFIRE;1;BELLO;5088;20/01/2015;UNKNOWN;;UNGRD;58902;58901;5005883
500589;700;FORESTFIRE;1;BELLO;5088;19/01/2015;UNKNOWN;;UNGRD;59002;59001;5005893
500590;700;FORESTFIRE;1;COPACABANA;5212;19/01/2015;UNKNOWN;;UNGRD;59102;59101;5005903
500591;700;FORESTFIRE;1;LA ESTRELLA;5380;19/01/2015;UNKNOWN;;UNGRD;59202;59201;5005913
500592;700;FORESTFIRE;1;CONCORDIA;5209;17/01/2015;UNKNOWN;;UNGRD;59302;59301;5005923
500593;700;FORESTFIRE;1;CONCORDIA;5209;17/01/2015;UNKNOWN;;UNGRD;59402;59401;5005933
500595;700;FORESTFIRE;1;MARINILLA;5440;16/01/2015;UNKNOWN;;UNGRD;59602;59601;5005953
500596;700;FORESTFIRE;1;AMAGÁ;5030;15/01/2015;UNKNOWN;;UNGRD;59702;59701;5005963
500597;700;FORESTFIRE;1;CONCORDIA;5209;15/01/2015;UNKNOWN;;UNGRD;59802;59801;5005973
500598;700;FORESTFIRE;1;JARDÍN;5364;14/01/2015;UNKNOWN;;UNGRD;59902;59901;5005983
500600;700;FORESTFIRE;1;FREDONIA;5282;12/01/2015;UNKNOWN;;UNGRD;60102;60101;5006003
500601;700;FORESTFIRE;1;EL RETIRO;5607;12/01/2015;UNKNOWN;;UNGRD;60202;60201;5006013
500602;700;FORESTFIRE;1;RIONEGRO;5615;12/01/2015;UNKNOWN;;UNGRD;60302;60301;5006023
500603;700;FORESTFIRE;1;BARBOSA;5079;11/01/2015;UNKNOWN;;UNGRD;60402;60401;5006033
500605;700;FORESTFIRE;1;MEDELLÍN;5001;11/01/2015;UNKNOWN;;UNGRD;60602;60601;5006053
500606;700;FORESTFIRE;1;BELLO;5088;10/01/2015;UNKNOWN;;UNGRD;60702;60701;5006063
500607;700;FORESTFIRE;1;SALGAR;5642;10/01/2015;UNKNOWN;;UNGRD;60802;60801;5006073
500608;700;FORESTFIRE;1;AMALFI;5031;9/01/2015;UNKNOWN;;UNGRD;60902;60901;5006083
500609;700;FORESTFIRE;1;BELLO;5088;9/01/2015;UNKNOWN;;UNGRD;61002;61001;5006093
500610;700;FORESTFIRE;1;BETULIA;5093;8/01/2015;UNKNOWN;;UNGRD;61102;61101;5006103
500611;700;FORESTFIRE;1;CONCORDIA;5209;8/01/2015;UNKNOWN;;UNGRD;61202;61201;5006113
500612;700;FORESTFIRE;1;FREDONIA;5282;8/01/2015;UNKNOWN;;UNGRD;61302;61301;5006123
500613;700;FORESTFIRE;1;GIRARDOTA;5308;8/01/2015;UNKNOWN;;UNGRD;61402;61401;5006133
500614;700;FORESTFIRE;1;SAN CARLOS;5649;8/01/2015;UNKNOWN;;UNGRD;61502;61501;5006143
500615;700;FORESTFIRE;1;MEDELLÍN;5001;7/01/2015;UNKNOWN;;UNGRD;61602;61601;5006153
500616;700;FORESTFIRE;1;SANTA ROSA DE OSOS;5686;7/01/2015;UNKNOWN;;UNGRD;61702;61701;5006163
500617;700;FORESTFIRE;1;ANDES;5034;6/01/2015;UNKNOWN;;UNGRD;61802;61801;5006173
500618;700;FORESTFIRE;1;CALDAS;5129;6/01/2015;UNKNOWN;;UNGRD;61902;61901;5006183
500619;700;FORESTFIRE;1;FRONTINO;5284;6/01/2015;UNKNOWN;;UNGRD;62002;62001;5006193
500621;700;FORESTFIRE;1;RIONEGRO;5615;6/01/2015;UNKNOWN;;UNGRD;62202;62201;5006213
